epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,332.284,0.83241,0.76517,1.04623,0.87435,0.54431,0.6316,0.47855,0.79804,0.77,1.07468,0.00030027,0.00030027,0.00030027
2,659.606,0.84397,0.77524,1.0455,0.84882,0.54475,0.61851,0.4498,0.87468,0.86243,1.10043,0.000591326,0.000591326,0.000591326
3,983.676,0.88988,0.84808,1.06025,0.83615,0.5275,0.59867,0.44425,0.85363,0.86904,1.09241,0.000870382,0.000870382,0.000870382
4,1307.18,0.90864,0.88242,1.07644,0.87117,0.49375,0.58499,0.4383,0.88587,0.93042,1.12786,0.000855005,0.000855005,0.000855005
5,1629.06,0.89085,0.85192,1.06167,0.80345,0.51556,0.58698,0.44507,0.84799,0.9063,1.08282,0.000837007,0.000837007,0.000837007
6,1953.01,0.90905,0.8426,1.06348,0.86822,0.50174,0.59216,0.451,0.85005,0.85179,1.09686,0.000819009,0.000819009,0.000819009
7,2323.72,0.88985,0.81534,1.0734,0.88902,0.52818,0.61671,0.46384,0.83719,0.85199,1.06618,0.000801011,0.000801011,0.000801011
8,2793.31,0.87178,0.80041,1.05212,0.8659,0.53087,0.61716,0.45658,0.8486,0.82405,1.08464,0.000783013,0.000783013,0.000783013
9,3293.04,0.88269,0.81544,1.05638,0.84338,0.54165,0.63282,0.47712,0.79329,0.76925,1.05664,0.000765014,0.000765014,0.000765014
10,3538.42,0.86311,0.77601,1.04162,0.87034,0.54756,0.63152,0.48243,0.80633,0.73768,1.06538,0.000747016,0.000747016,0.000747016
11,4263.38,0.86274,0.76969,1.04428,0.82521,0.55823,0.6295,0.46927,0.84173,0.76241,1.07894,0.000729018,0.000729018,0.000729018
12,4765.29,0.85458,0.75786,1.04743,0.84468,0.56504,0.64021,0.4792,0.82239,0.74871,1.07406,0.00071102,0.00071102,0.00071102
13,5107.35,0.83089,0.73726,1.02367,0.88935,0.55237,0.64178,0.48284,0.81832,0.73056,1.08136,0.000693022,0.000693022,0.000693022
14,5399.82,0.83653,0.72826,1.03297,0.87586,0.54504,0.63676,0.4775,0.81686,0.73173,1.07556,0.000675023,0.000675023,0.000675023
15,5679.45,0.82023,0.72664,1.02262,0.84684,0.5589,0.63859,0.48564,0.78967,0.74623,1.0556,0.000657025,0.000657025,0.000657025
16,5994.02,0.81564,0.71904,1.01791,0.88105,0.55032,0.64002,0.48385,0.78339,0.71376,1.06308,0.000639027,0.000639027,0.000639027
17,6393.76,0.81267,0.70094,1.01349,0.87394,0.5659,0.65098,0.49446,0.77807,0.69769,1.0527,0.000621029,0.000621029,0.000621029
18,6887.92,0.81974,0.70341,1.01741,0.8355,0.57952,0.64564,0.49437,0.77223,0.68583,1.04477,0.000603031,0.000603031,0.000603031
19,7156.93,0.78364,0.67182,1.00654,0.88955,0.58209,0.65592,0.49601,0.7774,0.65981,1.04244,0.000585032,0.000585032,0.000585032
20,7929.79,0.78867,0.67454,1.00425,0.8959,0.54616,0.65243,0.5019,0.76425,0.69549,1.03849,0.000567034,0.000567034,0.000567034
